user,sentiment,topic,comment_text
@sandrasaopedrostummer3810,0.0,0,JESUS CRISTO  E O MEU REI...Elon musk e imigrantes
@suranga8585,0.0,0,
@jamesoneill2933,0.2905,1,We want stuff !!!
@shinjiuchiua7820,0.7303,1,"He kept stuttering and couldn’t make a proper sentence, his words were very vague “make a great change” is all he said . Big L"
@DonAlien,0.0,0,
@meenakshigyanchandani8297,0.0,0,🩷️
@shawntyler863,0.7096,0,ACDC thunderstruck was the song choosen. Im glad our president has good taste in classic rock.
@tanusree8860,0.765,2,"so, my friend wouldn’t stop talking about this book called Vibrations of Manifestation, and I finally gave it a shot. now, they’re making these crazy life shifts—better relationships, unexpected opportunities—it’s wild. they swear by the techniques, saying it’s more practical than woo-woo. the only catch? finding a copy isn’t easy; it’s like the book’s too powerful to stay available"
@geremewgualu,0.0,0,https://youtu.be/HtG9UQMDdXU?si=3jJra-cXMf5Q6XdG
@JK_87606,-0.6369,0,Elon musk you are fine person.  But this var stupid anaway
@paigedial3445,0.6705,0,Elon is just happy and excited for change. He is giddy
@CollenNgwenya.,0.0,0,
@kenandcarolynphillips3868,0.6696,0,I love Elon!
@kenandcarolynphillips3868,0.1763,2,"You know i have been watching this guy from the start. He is so socially awkward that he could fart and everyone would say he belched. So, i dont take his hand signals to heart neither should any of you."
@digitatissue8502,0.8217,2,So Inspiring! People need to get a grip when someone gestures that they are throwing their heart out.
@sedhu-x9g,0.0,0,8
@Augustus-t5r,0.8591,0,"What a cool sign of respect for Rome the Roman salute ,The Americas are named after Amerigo Vespucci a Italian,America great again starts with knowing who gave there name to the country"
@TipsandTricks-w2c,0.5983,0,"""Make America Bold Again: Trump’s Vision, America’s Future!"" 🇺🇸"
@seethelight1417.,0.0,0,COmmon Sense@
@ipekurian4372,0.7184,0,"Elon ,You are Americas darling and a National Treasure"
@Freyja123,-0.8545,2,"This dum bass is such a joke. He was saying l give you my heart.  You saw him say it. But these miserable idiots have to be so hateful and bitter,  their mind goes right to hateful thoughts. 
We love you too Elon. ️"
@yiannimil1,0.0,0,WEIRDO............#2
@BB-vq2zv,0.0,0,BRAVÓ ELON !!!!
@lizzapaolia959,0.6249,0,Awesome
@kuantize,-0.3412,2,The end of wokeness could not have been better.
@bzb500,0.906,0,He is so jolly and grateful to be in the moment of sanity! Elon Musk's genuine honesty is priceless!
@Marcoose81,-0.4102,2,"So. Elon clearly isn't referencing Hitler in his gesture, it's spontaneous. 
Perhaps it's coming from the same place.. a loving aggression.
 That's what i think defined Hitler's evil, ironically, was a Love for the German people, coupled with an aggression to attack those holding them back.
Elon had a love for the American people... he will attack those holding America back, but that will limited to the corrupt bureaucracy. There's no indication that he will attack other races or countries. His vision is much better developed than that of Hitler. 
He will Develop the Space Frontier!"
@susanwedell7627,0.7964,0,Yes yes yes
@JustIceForSake,0.8156,2,"Wasn't everyone always saying Elon Musk was socially awkward? What has changed? 
As long as he is serving humanity as best as he can (and judging by his track record he is) leave the guy celebrate and let him be him."
@natashatoloue8902,0.1511,2,I belive in Elon! Plz people dont do the same thing you did with Jesus
@brucealmighty9877,0.0,0,Sieg Musk!!
@alcedo_kf,0.0,1,"One name for salvation, Jesus Christ, the King of kings. Acts 4:12"
@janettecordova2409,0.6696,0,I love Elon!
@heatherjohnson4460,-0.0772,2,"I think people are forgetting that Elon is autistic. That's why he acts different and he likely had no awareness that his ""my heart goes out to you"" gesture came off as a Hitler salute. I have an autistic kid and know the diagnosis front to back, and we need to remember that's classic autistic behavior to come off rude for not realizing the implication of something. No one is hailing Hitler. Just a fellow aspie getting lost in the exciting moment."
@jamesoneill2933,0.0,0,Elon Musk works for me.
@markrogers5727,0.0,2,"Is this the one where you edited out the Nazi salute, NBC Chicago?"
@Itsjake908,0.0,0,Freakin Legend!!
@miryambarnabas2424,0.5994,0,God bless Elon Musk
@coraharper2944,0.36,2,This man is a little odd with his gestures but there was no ill intent here
@janettecordova2409,-0.0516,0,He is super excited you haters. Shut your mouths and move in with Whoopie or Oprah. You people make me sick.
@ayaz1110,0.4767,0,"President Trump should make proud boys head of Coast Guard , and police department."
@realitygaminguk,0.0772,0,Hail Elon
@ScientificallyMale39,-0.5943,2,"We are the future. If you don't like it, leave this country. It would be a burden off of our shoulders."
@meroshango9603,0.2732,2,"""My heart goes out to you""  omg sooo nazii , the media today is a shame"
@smokinghai,0.8704,2,"Man is it bad that I kinda hate every side, like I don’t like Trump or Elon at all but he clearly wasn’t saluting hitler, like literally right afterwards he says my heart goes out to you. Like I said I hate Elon, he’s a whiny baby that needs validation but people are just reading too far into that"
@dwweiss5190,0.6249,0,Elon is awesome ️
@partsthief,0.0,2,Elon gets it!
@WieWatWaarWanneerHoeWaarom,0.5859,1,1:13 is amazing
@SoundofSilence-vw7zx,0.9213,1,"If Elon actually did that that would be super, fantastic, and amazing !! Listen to the crowd, we’re back!"
@OMGWUNSIU,0.0,0,
@MiroslavBogar793,-0.3754,0,"There is no other planet and you know it! Above us is firmament and you are fighting against it, and trying to break it but you know what- LORD JESUS CHRIST IS BIGGER THAN YOU! HE IS GOD AND HE WILL JUDGE EVERYONE FOR THEY EVIL DEEDS! 

REPENT AND BRING BACK YOUR SELF TO CHRIST THAT YOU CAN ALL BE SAVE IN JESUS NAME!"
@barbaragorse3243,0.6249,0,ELON THE GREAT MAN
@berry1485,0.0,0,Elond Muskler
@vidfuel12,0.4215,2,Nice
@Heisdaone,0.8349,2,I love the part when the president said that the official gender of United States is men and women and nothing else!!!
@narvelancoleman8597,0.9545,1,"I loved they great hymn of the church: ""Great is Thy Faithfulness Oh Lord God Our Father!""️"
@lr-jo1nl,0.8074,0,This is my first time viewing an inauguration for the US President. The music was exciting. I see a little similarity to our  great Royal programmes in the UK
@RAJKUMAR-ui8wo,0.8239,2,"Well rehearsed,well displined and well regulated presentation, leaving nothing to chance.worth appreciation  AND admiration all the WAY THANKS very much."
@WANNAWATCHIT100,0.7066,0,My 19 year old is in college right now to become a car chassis designer in the USA. I am so proud of him!!!
@elfenmaus1440,0.891,0,Greetings from Germany Congratulations god bless you ️
@TamaraLPalmer,0.6801,1,It was really nice to watch the inauguration without any news commentary.  Thank you
@titajanestv9888,0.8316,0,"Watching from Pangasinan, Philippines.  God bless America, God  bless President Donald Trump."
@nahidbahramian2220,0.5994,0,"I am Christian from Iran, God bless America& President Trump abundantly"
@maryannty2044,0.8941,0,"As a citizen of this beautiful nation, I have nothing but respect and gratitude that this day comes. As a nation we need to continue to pray for our leaders to lead us in greatness once again. Let's set aside our differences and be in unity to make America the strongest nation and ally to other countries."
@ofeliafellows7392,0.7481,0,"GOD BLESS TO ALL REPUBLICAN MEMBERS  WATCHING FROM LOS ANGELES, CALIFORNIA USA 🇺🇸"
@ClarieJoy,0.8402,0,watching from 🇮🇳 Awesome ceremony God Bless You All
@cecillesacopla3079,0.8834,0,"Blessed to have witnessed this as a Filipina in the USA. Praying for this country to rise up again, according to the Lord Jesus Christ's Headship.
God bless your leadership Pres Donald Trump."
@DVu-ki7nn,0.886,0,"I like watching the US presidential inauguration ceremony, it's beautiful and traditional, what I like most about this time is not having to see Hollywood stars, thank you."
@Odo55,0.5719,1,Carrie Underwood A Capella along with those attending actually turned out perfect ️
@mhkim4127,0.9758,0,"I'm watching well in Korea, and I sincerely congratulate President Donald Trump on his inauguration. I'm a big fan of President Donald Trump, Mrs. Melania, and Barron Trump. I'm watching Barron Trump on the Internet every day. I hope his great son Barron Trump grows even more in the future, and America develops further. His inauguration is also magnificent and wonderful."
@mathewskaoma7445,0.8316,0,Watching from Zambia May the good Lord continue to bless Americans your democracy has made the world proud .
@FoothillsMaverickEDA,0.7584,0,"Watching from Canada and very envious of your stytem ; it’s continuity and success, ingenuity in checks and balances, and greatest of all the inalienable rights to which you have claim."
@markyesh5763,0.9531,1,"@14:27 , Great is Thy Faithfulness, Lord unto me.

Morning by morning new mercies I see, all I have needed Thy Hand has Provided, Great is Thy Faithfulness Lord unto me."
@garywest8705,-0.5423,1,The Marine Band and Navy chorus' rendition of The Battle Hymn of the Republic brought tears to my eyes.
@sir945,-0.25,0,47:00 the swearing in of Trump and Vance.
@Sunflo07H,0.7772,0,"Barron Trump ️️🇺🇲  What a gem!! 
Poise, well mannered, great job mom and dad ️️🇺🇲"
@elizabethlee433,0.6249,0,"It was my first time watching a presidential inauguration from beginning to end. 
Eye-opening. 
The piano solo was great. 
So was the military choir."
@MmasomNdefo,0.836,0,"Who else enjoyed Pst Lorenzo's prayer, the second to the last man's prayer. Y'all, it was filled with energy, even the President was dazed. Love it"
@margaretdevine9755,0.9906,0,"This is my first time watching a full inauguration ceremony. It’s such a beautiful inauguration. And God is back in the White House. God was glorified throughout the Ceremony and all I could think of was Psalms 23. God truly prepared a table for President Trump in the presence of his enemies I love his boldness and I shouted, clapped, and rejoiced throughout the ceremony. Underwood was wonderful in her singing, the music was not needed, and she did a great job. Glory to God. Congratulations again Americans ."
@arankapasalic8842,-0.0191,1,NO MATTER WHO IS PRESIDENT JESUS IS KING.
@romancaytoncabading4259,0.2732,0,May the Lord Jesus guide our President Trump in directing our country back to God
@HenrietteDrennan-xg6vj,0.9385,0,The greatest ceremony  ever thanks for sharing this beautiful video
@mariviclobaton,0.5994,0,God bless you Mr.President Donald Trump️️️️️🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸
@marinachangsan6703,0.8316,0,"Watching from India ,God bless America always .What a magnificent ceremony"
@SamsonIsia,0.8832,0,"Congratulations, sir, on your triumph! May God grant you the faith of Abraham, the courage of David and the wisdom of Solomon to lead and unite not only the Americans, but also the world at large. I'm viewing from Nigeria."
@lorysutram5685,0.636,0,Watching From Australia God Bless America!
@judithdavis-lloyd4768,0.9615,0,"This is the first time I watched the full Inauguration and Transition of Presidency…I am very proud of the Presentation , actually give me goosebumps the whole time…very proud of being a citizen of America.  May GOD BLESS AMERICA and the New President  Trump.  All the Glory and Honor is Yours ALMIGHTY FATHER  and forever and ever …AMEN"
@doraexplorer135,0.875,0,"I am a Christian from Pakistan, God bless America abundantly, wishing from bottom of my heart"
@VBarr-de1zx,0.91,0,"People of the USA, we have a lot to be thankful for. God bless our President, Donald J. Trump and his family, Vice President Vance and his family. God bless America."
@jultriyanti4424,0.9571,0,I'm from Indonesia. Thanks for beautiful video. CONGRATULATIONS FOR AMERICA. GOD BLESS AMERICA
@suzie7413,0.7845,0,"May God's wisdom, anointing, blessings and protection be upon President DJ Trump and his family, Vice President JD Vance, and all of the cabinet administration in all branches of the USA.🇺🇲"
@peekaboots01,0.7579,0,Dear Lord please protect him. ️
@GodisPerfect668,0.9963,0,WE NEED TO ALL COME TOGETHER.  LOVE EACH OTHER AND HELP AND PRAY FOR EACH OTHER!  WE ALL NEED TO BE STRONG AND FAITHFUL TO OUR HEAVENLY FATHER!  LOVE EACH OTHER PLEASE & WE CAN MAKE THIS COUNTRY A BETTER PLACE TO LIVE. GOD BLESS EVERYONE ON HERE!  GOD BLESS AMERICA!  GOD BLESS TRUMP/VANCE & PRAYING FOR GOD TO LEAD & GUIDE THESE MEN TO FOLLOW GODS WILL!
@pumzavitshima573,0.6249,0,Watchng from RSA. It was awesome .
@souamoua7167,0.9741,0,"Never see any country that will put God first especially like this ceremony. No wonder why USA is the best country and a place where a lot of people dream of because they put God first. May all the glory to Lord! I’m proud to be a US citizen.
May God bless and protect you Mr. President and Vice President. May all what you think and will do is as Lord plan in Jesus name, Amen!"
@mercyleano5756,0.2732,0,"Thk you God 
Godbless America 🇺🇸"
@iloveyeshuamessiahforever2934,0.9801,0,"Glory, Glory, Glory hallelujah!  May GODs ways and truths march on —and our nation return to GOD and HIS truths and morals so we will continue to be blessed."
@ioanadestro7244,0.9553,0,"I'm watching from ROMANIA, and I'm very happy for all American People cause you found and elect your SUVERANIST LIDER that will make your country great again and will bring PEACE in the world. God bless USA and ROMANIA! ️"
@afr7788,0.8442,0,Congratulations to U.S  President Donald J. TRUMP Sir. Love from Bangladesh 🇧🇩️🇺🇸
@mariagiron4622,0.9691,0,Thank You God! We are so excited to see President Trump take office again. He loves our Beautiful Nation and we know that through God everything is possible. May our Lord Jesus Christ guide him and help him with everything that has been destroyed by Biden and Harris. God Blessed America. 🇺🇸🇺🇸🇺🇸️️
@cuongnguyen-zu7di,0.9485,0,God bless Mr; Donald Trump. You are the best of the best President of  the America Presidents History. Only You makes an America Strong and Gerat Again.
@joyceagusta5135,0.8439,0,"Watching from Indonesia,
Wooow the most beautiful inauguration ceremony..Congratulation Presiden Trump. God bless America..🇺🇸"
@TraizaGhattas,0.9956,0,"You will never forget our God, and God will never forgot you but he will help you , sustain you and everything will be Good . I am Coptic Orthodox, I love God from all my strength, from all my heart and from all my power like you Mr. President. God  bless you in this good day for America.we are very happy to be our president again. We pray for God to support your steps in every aspect."
@agnesodera5246,0.9557,0,"Congratulations America, congratulations president Trump, and congratulations kenya because it's been our prayers for this great God's doingfrom Kenya with love🇰🇪🇰🇪🇰🇪"
@gloriapalma8377,0.4215,0,Watching from Ottawa Canada?god bless America and a Donald Trump
@princeedemisang9288,0.9287,0,Greeting from Nigeria congratulations Sir welcome back I love you
@dagmargross6064,0.9417,2,"Thank you very much for this video. A very uplifting speech for Americans and wow! The man didn't seem to have any notes with him! Never glanced down to any that I could see. Said it all perfectly, no ums and aahs. Memorizing such a speech is absolutely to be admired!... Well, now we shall all see what is in store for other countries..."
@MargaretKonia-j5d,0.8316,0,Congratulations from Papua New Guinea 🇵🇬.  God bless America 🇺🇸 .
@renipertiwiningrum4486,0.5994,0,God bless America. From Indonesia
@ravenrose1972,0.7964,0,Thanks to all who voted correctly  Love you President Trump and Vice President Vance
@maruati76tlau63,0.5994,0,"Watching from India, God bless President Trump"
@ronilasuitos,0.5994,0,Watching from the Philippines 🇵🇭. God bless America
@HenrietteDrennan-xg6vj,0.884,0,Thanks for sharing this beautiful moment in history ️
@nicosantos2251,0.9608,0,Great is thy faithfullness O God our Father in heaven! GOD bless America! The Philippines🇵🇭 loves you 🇺🇲🇺🇲
@dorothymorgan1211,0.9821,0,"America is the greatest blessed nation!! May we love like Jesus, protect our democracy, make our military the strongest, end the silliness of any questioning gender. We are male and female as designed and created by God!!! Keep God first, and pray for our president and nation’s leaders!!! Thank you President Donald J. Trump!!!"
@whereisyourfaith1454,0.8122,0,"Best coverage I've seen. Thanks, NBC Chicago!"
@merylallego5750,0.0,0,Watching from Palawan.Pinas...
@MissAnnabelB,0.7177,0,"This is so beautiful to watch, watching from Nigeria 🇳🇬"
@middleguy840,0.81,2,I'm not a diehard Trump supporter but this one of the greatest speech I've ever heard.
@venom_x5432,0.9136,0,It's time for America 🇺🇸 to be back on Top of the World God bless you Mr President and your family true American patriots love you
@Carcass04,0.8122,1,anyway brilliant throughout really enjoyed it
@quangvinhtran2036,0.9186,0,"God blessed you all Americans, love from united Kingdom"
@betawithbrett7068,0.9081,0,"JD Vance's wife and Melanian Trump are two classy ladies... full of poise and class... I don't have enough adjectives to express their virtue.  The Honorable Donald John Trump, 47th President of the USA, has such an adorable family."
@vicchris3943,0.4939,0,"This day will be remembered in the history. One nation under God, and returning to God"
@SpeakWell-NJ,0.5994,0,Watching from Nigeria. God bless America
@EchezonachukwuWilson,0.8834,0,"I am from Nigeria, America is a great nation with order and due- process. God bless America. I pray that my nation Nigeria will learn from America"
@lizamarieliteral9544,0.5707,0,I noticed Barron looks worried and restless when his Dad is not yet called..what a sweet son..Pres Trump and his wonderful family..Congratulations America!
@LinaSloan,0.5994,0,God’s will has been done. Congratulations to America’s new President Trump & Vice President Vance 🫡🇺🇸🇨🇦
@leilamuller1886,0.5994,0,"Watching from  Vienna, 🇦🇹 Austria. Europe .    Congratulations"
@jolandtangkilisan2677,0.5473,0,I am from IndonesiaGOD BLESS ALL OF AMERICA
@joelfernandez2333,0.9313,0,Made me a proud American today. May God bless the United States of America 🇺🇸. Make America a great nation and country again.
@annetteoyeneyin7321,0.5053,1,"My best inauguration!! 
It actually made me cry. Oh! If America will understand!!!"
@onyinyechiegosim5606,0.0,0,#peacetoallnation️
@drissdehry2425,0.8442,0,God bless America  Love from Morocco
@heyjude1101,0.9678,1,"""Free at last, free at last, Thank God Almighty free at last"" Thank you Martin Luther King for your immortal words. May God Bless you."
@sharrebenezer,0.5859,0,Wasn't the black brother's prayer amazing and full of life .Very uplifting whoo hoo
@pardedepariama82,0.8316,0,God bless America. What magnificent ceremony From Indonesia.
@adorable_jane8911,0.9604,0,He was not reading the presidential speech from the scripts but from his heart. Trump is a great man and I thank God for his life.
@abduljalilalmarzooq3673,0.3612,1,I feel unburdened by what has been. Thank you Mr. President.
@hongngoclethi3965,0.93,0,"Thanks the Almighty of our Savior, Lord. God bless USA and save Trump 's Administration. Dream comes true."
@HenrietteDrennan-xg6vj,0.7906,0,A great speech of hope and prosperity
@marjoriestepro8003,0.9041,0,"It is exciting to see and hear the name of our God and Savior, Jesus Christ, honored in our nation; the United States of America!"
@goretti2127,0.9001,0,Congratulations America hope springs eternal love from Ireland 🇮🇪
@ezekieljohn3596,0.9297,0,What a lovely inaugural ceremony !!! Love from India. God bless President Trump and Vice President JD Vance
@DefenderLyngdoh23,0.9763,0,"I'm from India, and i am feeling so grateful , and also hope that America will be great again. May God bless Mr. President. (As a saying, "" with great power comes great responsibility"")."
@francisn.johnson3206,0.7177,0,I'm watching closely from Liberia 🇱🇷 the ceremony is so beautiful and traditional in happening
@joemugo4043,0.5423,0,Good wishes to Americans from Kenya.
@gracekamundi9952,0.891,0,What a beautiful inauguration ceremony . May God bless President Trump and bless America .
@유미영-x3p,0.0,0,감사합니다
@MM-ei2rr,0.5994,0,"Congratulations to Mr. Trump President office, from Germany"
@Eliamacristo,0.9896,0,"🇺🇸Beautiful inauguration! The best I’ve ever seen because God was extolled and  glorified in first place and in such special way! God Loves America and will Make America Great Again. No doubt! Great job Mr President. We love you. America loves you! The world loves you. May the Lord  continue to protect you and guide you and all your people for this astonishing Mission until the end. In Jesús name we pray, amen. 
️🇺🇸️"
@mimichawmattiasson2929,0.9538,0,Congratulations  Mr president Donald trump family members maygod bless us welcome back on running president Donald trump you are man wow lovely to watch you and your family members us
@EagleSharpEye,0.9565,0,"America we the world stand with you in peace and in harmony. God please bless DTrump and the newly installed team to bring prosperity, peace,  progress and stability for the States and the whole world 🇺🇸🇺🇸🇺🇸"
@KhalidHassan-l6t,0.0,0,"Trump is the real image of the US President. Though I'm not American, but I would vote him for the third term if I were American. He deserves to be lifetime President."
@tanataotengahere5978,0.9924,0,"""Faith"" is the key to understanding in this role of President Trump..good support and wisdom ..but not of this world...  changes are happening.. hopefully in a godly way ..an outstanding speech and awesome enarguation from such a person .. support, love ..in a godly manner..will achieve one's standards of creation..hopely for a better way of life ..a wake-up call for all the world..end of message be..""Blessed are those who trust in the Lord, and who's hope the Lord is ""as written..the Lord knows EVERYTHING ️"
@onyinyechiegosim5606,0.7184,0,"Amen and Amen and Amen and Amen to All The Prayers offered in this 47th inogural occation  
Blessed is the nation whose God is the LORD"
@charitybyarugaba4136,0.8689,0,This is a well planned inauguration ceremony with an amazing order of precedence.  May God bless President Trump and VP Vance
@FadahDonEboh,0.9355,0,"Congratulations,We believe that America will be great under your watch, may God guide and strengthen you, more grace and wisdom,"
@gildahope2344,0.8225,0,"The black minister gave a beautiful  Sermon rather than a Prayer, with MLK, Jr flavor, it was wonderful & needed ... AMEN & AMEN 🇺🇲"
@SinaLeuluaialii-vp5fq,0.7088,0,To God Almighty to be with Glory! Amen
@chantrearmoeung7780,0.9196,0,heavenly father blessings USA!!and protects your children all. watching over President TRUMP!please father Lord God! !
@Jarrygames86,0.4946,0,"From Canada. USA is going to have a great 4 years!! 
It's not luck, it's destiny. 
🇨🇦🇺🇸"
@Chateautea,0.9565,1,"Thank you Jesus for God being honored and returned to honor at the highest level of our Government. Thank you for mercy and grant us wisdom to continue to win the battle over darkness, wokeness and all the steal, kills and destroys.  Great is they faithfulness!"
@basiliakunder5038,0.7506,0,"THANK YOU LORD GOD
BLESS THE WHOLE WORLD"
@Tettyroni13,0.8718,0,"I am christian from Indonesia, God bless America & president Trump abundantly 🇺🇸🇮🇩 so blessed"
@kimberlywright4988,0.8977,0,This is the most beautiful inauguration that I have ever seen...bless the name of our Lord Jesus Christ. God in Jesus name and God Holy Spirit bless America
@jeanetcall3116,0.9477,0,I love America I am a proud American 🇺🇸. May God heal and Bless our United States of America.🇺🇸 Thank president TRUMP and family.
@sheebaedwin5091,0.7717,0,Watching from India🇮🇳 congratulations sirGod bless  Abundantly you and your country
@ViralCollectionShupao,0.7906,1,Great is thy faithfulness
@yutsaw9381,0.7506,0,Amen  Thank you Lord God bless America
@evelynpasqua6968,0.7841,0,I got the goosebumps when the chorus marched through and sung the song.  It was a very special place for everyone to witness the ceremony.  Congratulations to President Trump and Vice President Vance.
@annesperling978,0.971,0,"God Bless America!!!  I have never watched a full American inauguration……my life and my family, Canada, is depending on  President Trump to save us all, he’s turning this big train around!!!  Never have I seen God & Jesus Christ so high in importance as I have seen here.  God bless Donald Trump, Melania & this whole Presidency!!!    I was so afraid it wouldn’t happen, thank you God! God will be back in the schools back in our lives again!"
@Potus1789-chanel,0.2732,0,"Highlights

00:22 Dan Quayle enters
00:32 Mike Pence enters 
 Bill and Hilary Clinton enter
 George W. and Laura Bush enter
 Barack Obama enters
 Christopher Macchio sings ""O, America""
  First Lady Melania Trump enters
 entrance of Joe Biden and Kamala Harris
 J.D. entrance Vance
  Donald Trump enters
 J.D. swearing in Vance
 swearing in Donald Trump
 Battle hymn of the republic 
 speech by Donald Trump
 Carrie Underwood sings ""America the beautiful""
 Christopher Macchio sings the anthem of the United States of America
 Joe Biden and First Lady Jill Biden board the helicopter, thus ending Joe Biden's long career in American politics"
@raymondbaidoo4707,0.9186,0,Love from Ghana. May God Bless President Trump and Vice President JD Vance. God Bless America.
@catherine4043,0.8439,0,Congratulations President Donald J Trump. God bless America. 🇸🇸 From Kenya!
@shelliemelton6983,-0.2263,0,Carrie Underwood's performance was incredible and very moving. She brought me to tears.
@AdelBartolome,0.3612,0,Thank you Lord Jesus for choosing our President Trump to put him back in the White house.
@MPH-pt2nf,0.8851,0,I like so much how the second lady of JD Vince keeps smiling. It is so amazing
@mariagiron4622,0.7417,0,Melania looks so Beautiful as always! 🇺🇸🇺🇸
@SamFrost-zm6vm,0.7245,0,Greetings from England.   󠁧󠁢󠁥󠁮󠁧󠁿 🇬🇧.   Well done Mr Donald Trump.   Service was beautiful and respectful.    Made me cry.    .     Uk is not so good right now.   Please don’t forget us sir.
@maviccalibara3625,0.8127,0,What an Honorable Innaguration ..Trump really honered d entrance of d Past Presidents ...they were all sports and  professionals no matter what ..Respect is there !!!
@유미영-x3p,0.0,0,오랜만에 뵙겠습니다
@susanquiambao8884,0.855,0,God bless America! God bless President Trump!  Watching from the Philippines.
@dppalomino2936,0.8625,0,"Minute 30:33, the emotion Barron shows is just remarkable. Good boy, proud son."
@swarnlata90,0.6486,0,Such a powerful speech . Thank you lord Almighty
@HenrietteDrennan-xg6vj,0.5994,0,What a beautiful moment
@takkcertu,0.8591,0,Such a powerful speech. Congratulation America. Greetings from Canada.
@remremteicolney8718,0.5719,0,Watching from Australia.  God protect President Trump.
@ranaepagett2893,0.5574,1,Thank God for big MIRACLES
@Maria-14344,0.9382,0,"My heart is full of joy and all I can say is God bless you, always guide you and protect you Mr. President"
@savedbygrace4391,0.8065,0,"United we STAND, 
Divided we fall !
Congratulations to the world  and USA for new era of leadership of We, The People!"
@eaglegeek23,0.9978,0,"Really enjoyed this inauguration! Enjoyed the ""Black mans"" prayer!! I cant remember his name but it was wonderful!! Also vice president Vances wife is beautiful. But I noticed her beautiful hair and light grays showing. I love the natural colors ""salt and pepper look"" I think it is so beautiful! I also am really really proud that President Trump said we would not forget our God! Thank you! God Bless the United States of America!! God please protect and keep our leaders and give them wisdom to guide this great nation. And it all starts with not forgetting you!!"
@cassoudennard,0.6867,0,"So proud to be an American, like never before. Thank you Mr President Trump!!!"
@ikukunigeriatalkshow3400,0.5994,0,God bless America.... Watched from Nigeria
@karenkemmerling7088,0.6696,0,Melania has to be the classiest woman alive.  Just stunning!  And President Trump’s purple tie…a sign of unity.
@susanapfister-cuesta4010,0.9001,0,The handsome Barron Trump . God bless you. God bless USA President Donald Trump and Families.
@MSHOLLYKAY68,0.9921,0,WOW!  The music is impeccable. I am so happy again to finally have a godly man in office. I am so greatful to God for this moment!  President Trumps plans for the USA and its peoples are honorable and I am so proud in this moment. thank god! xoxoxoxo now peace can begin again globally. The AMERICAN people want peace and love harmony and abundance for all peoples nations.  God Bless Everyone........
@Ash-r6p,0.6351,0,Watching from Arkansas! Thank God we have you Donald Trump as our president! 🇺🇸
@rangenard,0.6688,1,Never would I have thought I’d watch every second of it  God bless America! Long live Trump!
@JameskuttyMarattilVehicleInsur,0.8807,0,"God blessed you all Americans, love from INDIA"
@susanapfister-cuesta4010,0.0,0,Watching from Switzerland 🇨🇭/ The Philippines 🇵🇭
@bab1374,0.9297,0,Today is the day Americans stand together to make America great again and mark a historical presidential election in the USA in which the Americans get back the country!May God bless President Trump and Vice President Vance ! May God bless the USA and her people!🇺🇸️
@conniedarken5271,0.9117,0,"God bless America and God bless President Trump! Blessings from Perth, Australia"
@blaze4202,-0.6249,0,After a long and dark four years for Americans and our country the worst ever we now actually have a president and vice president Finley.
@HenrietteDrennan-xg6vj,0.5859,0,Lovely  music
@eunicefuraque5970,0.8553,1,"Great is Thy faithfulness, Oh God!"
@Mahalo4ever,0.9136,0,God bless America God bless President Donald Trump Sr congratulations
@miriamanderson6146,0.0,1,“Great is Thy Faithfulness…”
@minargultom6948,0.5994,0,Wow...congratulations Mr. President Trump. May the name of the Lord be exalted through your leadership. God Bless America from Indonesia
@adiltbst8143,0.5994,0,"God bless You , America, From Indonesia"
@murtl5595,0.8225,0,A true Patriot back home at last...MAGA best wishes from 🇮🇪 🇭🇲
@kimt.9684,0.8825,0,"""Instead of taxing our citizens to enrich other countries, we will tariff and tax foreign countries to enrich our citizens."" 
Yes!  It's about time!
Thank you President Trump!
God bless America!"
@유미영-x3p,0.0,0,아멘
@PhilBil-100,0.8591,0,Watching from Australia. Splendid ceremony. Well done President Trump and the Trump family.  Fortitude. Remarkable. A lesson for all.
@jancullars3982,0.8042,1,Thank you Carrie I was singing when they announced that song. So happy you asked
@patriciaflores1614,0.8439,0,"Beautiful ceremony!
God bless America"
@弘历爱新觉罗,0.6113,0,I am Chinese citizen，I am so proud of President Trump and Vice President Vance！Looking forward to see change of the world in next 4 yrs🇺🇸🇺🇸🇺🇸🇺🇸
@angieengle7064,0.5719,0,That Man Has The World On His Shoulders. God Will Protect Thee
@Charity-vm4bt,0.8126,0,"Usha is lovely. Animated, warm. Expressive, engaged in the historic proceedings."
@andrealohrer2615,0.8225,0,"Beautiful Hymn.” Lord of All to Thee We Raise, This Our Hymn of Thankful Praise.️"
@baiwan5687,0.5994,0,Watching from Philippines  God Bless Mr President Trump
@nellienaidoo3817,0.5994,1,CONGRATULATIONS FROM SOUTH AFRICA
@meandmine8685,0.4574,0,What a President! Wish we had this in the U.K.
@touchuy7318,0.6688,0,Watching from Oakland California! Congratulations to president trump!
@rositaparks9733,0.8687,0,What Greàt moments to the newly President this time that is so Beautiful ️️️.That was an Amazing day.
@jamesmcqueen6038,0.9767,2,"If you want the truth I think it was way to long and over played. I know the President was very tired because he had a busy day and then to go through all that was a little to much.  They could have put off some of the things on a different day like all that military marching etc.  Most of this could have been put off until a nice day in March.  It was just way to long and tiring for most people, older and younger.  I know the president is glad it is over so he can start to work running the country.  Maybe it was just me because i am 92 and it seem like a long time. God Bless the United States.  My vote went for Trump , Thank God he won."
@DeeBaker-c4g,0.9283,0,Congrats from Canada!  Many of us (most) love President Trump too!  God bless you all !
